batsman,0
CH Gayle,41.02247191011236
DA Warner,40.14
LMP Simmons,39.96296296296296
JP Duminy,39.86
SE Marsh,39.507936507936506
MEK Hussey,38.76470588235294
AB de Villiers,38.30769230769231
MS Dhoni,37.87234042553192
V Kohli,37.483050847457626
SPD Smith,37.23913043478261
KP Pietersen,35.75
ML Hayden,35.70967741935484
DA Miller,34.733333333333334
SK Raina,33.940298507462686
SR Tendulkar,33.81159420289855
AM Rahane,33.59340659340659
BJ Hodge,33.333333333333336
S Dhawan,32.669724770642205
RG Sharma,32.6124031007752
G Gambhir,31.541984732824428
SR Watson,30.91764705882353
S Badrinath,30.659574468085108
F du Plessis,30.11627906976744
YK Pathan,29.816326530612244
RV Uthappa,29.515625
MK Tiwary,29.428571428571427
KA Pollard,28.70731707317073
JH Kallis,28.55294117647059
MK Pandey,28.5
DR Smith,28.392857142857142
SS Tiwary,28.355555555555554
DPMD Jayawardene,28.25
R Dravid,28.233766233766232
BB McCullum,28.112244897959183
V Sehwag,27.555555555555557
AC Gilchrist,27.223684210526315
AJ Finch,27.1864406779661
AT Rayudu,27.146067415730336
DJ Hussey,26.979591836734695
TM Dilshan,26.813953488372093
M Vijay,26.431578947368422
KC Sangakkara,25.953846153846154
Yuvraj Singh,25.653465346534652
WP Saha,25.524590163934427
SV Samson,25.464285714285715
SC Ganguly,25.452830188679247
LRPL Taylor,25.425
KK Nair,25.17391304347826
GJ Maxwell,25.081632653061224
KD Karthik,24.811965811965813
RA Jadeja,24.055555555555557
DJ Bravo,22.945454545454545
PA Patel,21.700934579439252
IK Pathan,21.69811320754717
NV Ojha,20.986486486486488
Mandeep Singh,20.21818181818182
