season,total_runs
2008,160.9655172413793
2009,150.26315789473685
2010,164.76666666666668
2011,152.36986301369862
2012,157.54054054054055
2013,155.89473684210526
2014,163.06666666666666
2015,166.25423728813558
2016,162.6
2017,165.77966101694915
