batsman,0
GJ Maxwell,164.3048128342246
V Sehwag,155.44159544159544
CH Gayle,151.55666251556664
AB de Villiers,148.46678023850086
KA Pollard,146.94132334581772
YK Pathan,146.1
ST Jayasuriya,144.36090225563908
Harbhajan Singh,142.42424242424244
DA Warner,142.08849557522123
JA Morkel,141.92139737991266
DA Miller,141.32007233273058
SK Raina,139.2102846648301
SR Watson,138.68073878627968
AC Gilchrist,138.39464882943145
ML Hayden,137.34491315136478
MS Dhoni,136.7127496159754
DR Smith,135.20408163265304
KM Jadhav,134.89425981873111
KP Pietersen,134.72409152086138
SE Marsh,133.0304649919829
M Vohra,132.73231622746187
Q de Kock,132.24043715846994
SPD Smith,131.97226502311247
RV Uthappa,131.6376306620209
Yuvraj Singh,131.25633232016213
BB McCullum,131.06565176022835
RG Sharma,130.8960796515246
WP Saha,130.73047858942067
AJ Finch,130.08921330089214
V Kohli,129.8972099853157
A Symonds,129.86666666666667
SS Iyer,128.50318471337582
MC Henriques,128.1746031746032
F du Plessis,127.96442687747036
CL White,127.76315789473685
KK Nair,126.9736842105263
STR Binny,126.82119205298012
LMP Simmons,126.6431924882629
DJ Bravo,126.32632632632632
AT Rayudu,126.16187989556136
KD Karthik,125.94360086767895
AD Mathews,125.91304347826086
KL Rahul,125.64991334488735
BJ Hodge,125.22361359570662
JP Duminy,124.87468671679198
G Gambhir,124.60796139927623
SV Samson,124.43280977312392
LRPL Taylor,123.72262773722629
DPMD Jayawardene,123.49726775956285
M Vijay,123.39066339066338
MA Agarwal,123.33333333333334
DJ Hussey,122.97674418604652
RA Jadeja,122.92405961674946
MEK Hussey,122.64267990074443
GJ Bailey,121.875
S Dhawan,121.86858316221767
KC Sangakkara,121.19252873563218
EJG Morgan,121.13475177304964
IK Pathan,121.05263157894737
Mandeep Singh,120.8695652173913
AM Rahane,120.59171597633136
MK Pandey,120.35733622089874
SR Tendulkar,119.82537236774525
SS Tiwary,119.58762886597938
S Badrinath,118.8943894389439
NV Ojha,118.6401833460657
Y Venugopal Rao,117.82296650717703
TL Suman,117.56521739130434
MK Tiwary,117.29537366548041
PA Patel,117.21352852094901
AM Nayar,116.46447140381282
R Dravid,115.5154091392136
TM Dilshan,114.49851042701091
MS Bisla,113.67521367521367
GC Smith,110.62874251497006
HH Gibbs,109.78934324659231
JH Kallis,109.22592259225922
SC Ganguly,106.80918448139352
